x,y
29.366528,20.25
29.316527999999998,19.950000000000003
29.266528,19.650000000000002
29.166528,19.35
29.116528,19.05
29.066527999999998,18.75
29.166528,18.450000000000003
29.266528,18.15
29.466528,17.85
29.766528,17.6
30.066527999999998,17.450000000000003
30.366528000000002,17.3
30.666528,17.200000000000003
30.966528,17.1
31.266528,16.85
31.566527999999998,16.75
31.866528000000002,16.700000000000003
32.166528,16.650000000000002
32.466528,16.6
32.766528,16.6
33.016528,16.6
33.316528,16.55
33.616528,16.450000000000003
33.916528,16.400000000000002
34.216528,16.400000000000002
34.516528,16.35
34.816528,16.35
35.116528,16.35
35.416528,16.3
35.666528,16.150000000000002
35.816528,15.900000000000002
36.116528,15.8
36.416528,15.8
36.716528,15.75
37.016528,15.700000000000001
37.316528,15.700000000000001
37.616528,15.8
37.916528,15.8
38.216528,15.75
38.516528,15.75
38.816528000000005,15.700000000000001
39.116528,15.700000000000001
39.416528,16.156714285714287
39.716528,16.25671428571429
40.55024893023256,16.304
40.85024893023257,16.203999999999997
41.26885358139535,15.991857142857144
41.568853581395345,15.941857142857145
41.818853581395345,15.741857142857144
41.416528,15.25
41.716528,15.100000000000001
42.016528,15.05
42.316528000000005,14.950000000000001
42.616528,14.900000000000002
42.916528,14.850000000000001
43.216528,14.850000000000001
43.516528,14.75
43.816528000000005,14.5
44.116528,14.450000000000001
44.416528,14.400000000000002
44.716528,14.3
45.016528,14.25
45.316528000000005,14.200000000000001
45.616528,14.25
45.916528,14.350000000000001
46.216528,14.450000000000001
46.516528,14.55
46.816528000000005,14.700000000000001
47.116528,15.0
47.316528000000005,15.3
47.366528,15.600000000000001
47.466528,15.900000000000002
47.416528,16.200000000000003
47.316528000000005,16.5
47.266528,16.8
47.266528,17.1
47.166528,17.400000000000002
47.066528000000005,17.700000000000003
46.966528,18.0
46.866528,18.3
46.616528,18.5
46.316528000000005,18.700000000000003
46.016528,18.9
45.716528,19.05
45.416528,19.15
45.116528,19.25
44.816528000000005,19.35
44.516528,19.450000000000003
44.216528,19.5
43.916528,19.55
43.616528,19.650000000000002
43.316528000000005,19.700000000000003
43.016528,19.75
42.716528,19.85
42.416528,19.900000000000002
42.116528,20.0
41.816528000000005,20.1
41.516528,20.200000000000003
41.216528,20.3
40.916528,20.400000000000002
40.616528,20.5
40.316528000000005,20.6
40.016528,20.700000000000003
39.716528,20.8
39.416528,20.900000000000002
39.116528,20.950000000000003
38.816528000000005,21.05
38.516528,21.200000000000003
38.216528,21.3
37.916528,21.450000000000003
37.616528,21.6
37.316528,21.75
37.016528,21.85
36.716528,21.950000000000003
36.416528,22.0
36.116528,22.05
35.816528,22.1
35.516528,22.05
35.466528,21.75
35.466528,21.450000000000003
35.516528,21.150000000000002
35.566528,20.85
35.716528,20.55
36.016528,20.25
36.316528,20.1
36.616528,19.900000000000002
36.866528,19.650000000000002
36.966528,19.35
37.116528,19.05
37.166528,18.75
37.266528,18.450000000000003
37.166528,18.15
36.866528,18.05
36.566528,18.05
36.266528,18.1
35.966528,18.1
35.666528,18.15
35.366528,18.15
35.066528,18.25
34.766528,18.4
34.466528,18.5
34.166528,18.6
33.866528,18.700000000000003
33.566528,18.85
33.266528,19.0
32.966528,19.200000000000003
32.766528,19.5
32.766528,19.8
32.816528,20.1
32.916528,20.400000000000002
32.966528,20.700000000000003
33.016528,21.0
33.066528,21.3
33.116528,21.6
33.116528,21.900000000000002
33.116528,22.200000000000003
33.166528,22.5
33.066528,22.8
32.866528,23.1
32.566528,23.150000000000002
32.266528,23.25
31.966528,23.35
31.666528,23.400000000000002
31.366528000000002,23.55
31.116528000000002,23.400000000000002
30.866528000000002,23.1
30.716528,22.8
30.566527999999998,22.5
30.416528,22.200000000000003
30.266528,21.900000000000002
30.116528000000002,21.6
29.916528,21.3
29.766528,21.0
29.616528,20.700000000000003
